city,creative_sectors,Famous_Landmarks,Lat,Lon,Crafts
,,Chagai,29.31470609,64.68943215,"Carpet Making, Sandals/Shoes, Embroidery, Gilum"
,,Dalbandin,28.8963483,64.4097124,"Carpet Making, Sandals/Shoes, Embroidery, Gilum"
,,Yakmach,28.7450876,63.8487211,"Sandals/Shoes, Embroidery"
,,Khuzdar,27.8000135,66.6166537,"Mirror Work, Embroidery, Jewellery, Musical Instrument, Sandals/Shoes"
,,Mahri,26.990069,66.751005,Saddla Bags
,,Panjgur,26.9616074,64.1153339,"Sandals/Shoes, Mirror Work, Embroidery"
,,Makran,25.2949997,63.34474685,"Embroidery, Jewellery, Sandals/Shoes, Wool Products, Perfume Making, Azarband, Basketry"
,,Uthal,25.8071934,66.6219059,"Sandals/Shoes, Embroidery"
,,Sonmiani,25.4250336,66.5964493,"Sandals/Shoes, Embroidery"
,,Ormara,25.2105634,64.6374914,Embroidery
,,Pasni,25.2626812,63.4753043,"Sandals/Shoes, Embroidery, Thread Work"
,,Turbat,26.0027894,63.0505609,"Leather Work, Patti Making"
,,Gwadar,25.1479816,62.3254553,"Sandals/Shoes, Embroidery"
